nombre_tortuga,estacion,fecha,area_de_monitoreo,posicion_lat_long,hora_de_captura,especie,peso,sexo,l_r_c,l_c_c,a_r_c,a_c_c,p_c,l_p,l_t_c,marca_nombre,marca_izquierda,fecha_inicio,hora_inicio,hora_fin,total_horas,tipo_monitoreo,metodologia,latitud,longitud,unidad_utm_o_grados,hora_captura,material_marcas,marca_previa_izquierda,comentarios,especie_nombre_latino,sexo_correcto,lugar,geografía,numero_recaptura,año,mes,mes_nombre
Lencho,NA,2010-10-11T00:00:00Z,ISPM,N28º37'206 W112º30'058,0.14583333333333301,Chelonia mydas,15,indefinido,1,53.4,40.4,53.2,18.6,1,8,GT 0977,GT 0976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2010,10,oct
Lili,NA,2010-10-12T00:00:00Z,ISPM,N28º37'206 W112º30'058,NA,Chelonia mydas,18,indefinido,1,55.2,40.9,50.9,20.3,1,9.8,GT 0981,GT 0980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2010,10,oct
Alejandra Meza,NA,2010-10-12T00:00:00Z,ISPM,NA,NA,Chelonia mydas,17.5,indefinido,1,55.2,41.5,54.8,20,1,8,GT 0983,GT 0982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2010,10,oct
Ana  Luisa,NA,2010-10-12T00:00:00Z,ISPM,N28º22'301 W112º18'101,NA,Chelonia mydas,27,indefinido,1,62.8,48.4,60,23.4,1,14,GT 0978,GT 0979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2010,10,oct
Naomi,Primavera,2011-03-15T00:00:00Z,ISPM,N2837191 W11230118,NA,Chelonia mydas,19,indefinido,2,62,46.6,59.4,NA,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,7,2011,3,mar
Romelia,Primavera,2011-03-16T00:00:00Z,ISPM,N2837191 W11230119,NA,Chelonia mydas,17.6,indefinido,2,57,46,54.5,NA,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,7,2011,3,mar
LORAYNE,Primavera,2011-03-16T00:00:00Z,ISPM,n2822157 w11217550,NA,Chelonia mydas,21.6,indefinido,2,61,47.5,58,NA,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,7,2011,3,mar
profepa,Verano,2012-10-08T00:00:00Z,choyudo-I Tiburon,NA,NA,Eretmochelys imbricata,4,indefinido,1,39,28,33,12.2,1,NA,GT 1547,GT 1548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eretmochelys imbricata,Indefinido,Isla Tiburon,isla,1,2012,10,oct
prescolina,Otono,2012-05-11T00:00:00Z,Alcaltraz,N23.83427w111.97182,0.51249999999999996,Chelonia mydas,32,indefinido,2,70,53,67,NA,2,3,GT 1545,GT 1546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2012,5,may
PAPIRINGO,Invierno,2013-10-01T00:00:00Z,Pta. Blanca Laguna la Cruz,N28.78696w111.89976,0.52777777777777801,Chelonia mydas,42.8,hembra,1,69.5,89,51.5,28,1,4,GT 1578,GT 1579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2013,10,oct
Theodoro,Primavera,2013-06-18T00:00:00Z,ISPM,N2837.075W112.29906,0.421527777777778,Chelonia mydas,16.6,indefinido,2,50,38.2,49,21,2,8.3,GT 1527,GT 1526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2013,6,jun
Carito,Primavera,2013-06-18T00:00:00Z,ISPM,N2837.075W112.29906,0.46527777777777801,Chelonia mydas,33.8,macho,2,64,47.6,61.1,26.1,2,16.5,GT 1529,GT 1528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Isla San Pedro Mártir,isla,1,2013,6,jun
Brittany,Primavera,2013-06-18T00:00:00Z,ISPM,N2837075W11229906,0.097222222222222002,Chelonia mydas,41.8,macho,2,60,52.6,68.3,27.6,2,18,GT 1530,GT 1531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Isla San Pedro Mártir,isla,1,2013,6,jun
Marlu,Primavera,2013-06-18T00:00:00Z,ISPM,N2837075W11229906,0.97916666666666696,Chelonia mydas,18.2,indefinido,2,55,42.8,54.2,22.7,2,8,GT 1532,GT 1533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2013,6,jun
Eminiel,Primavera,2013-06-18T00:00:00Z,ISPM,N28.37.06W112.29903,0.22916666666666699,Chelonia mydas,49,macho,2,74,54.8,72.2,30,2,13,GT 1535,GT 1534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Isla San Pedro Mártir,isla,1,2013,6,jun
Monica,Primavera,2013-06-18T00:00:00Z,ISPM,N2837112W11230000,0.23611111111111099,Chelonia mydas,33.6,macho,2,66.4,48.4,62,45.5,2,14,GT 1536,GT 1537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chelonia mydas,Macho,Isla San Pedro Mártir,isla,1,2013,6,jun
