fecha,nombre_tortuga,marca_nombre,especie_nombre_latino,numero_recaptura,a_c_c,l_c_c,lugar,geografía,sexo_correcto
2010-10-11T00:00:00Z,Lencho,GT 0977,Chelonia mydas,1,53.2,53.4,Isla San Pedro Mártir,isla,Indefinido
2010-10-12T00:00:00Z,Lili,GT 0981,Chelonia mydas,1,50.9,55.2,Isla San Pedro Mártir,isla,Indefinido
2010-10-12T00:00:00Z,Alejandra Meza,GT 0983,Chelonia mydas,1,54.8,55.2,Isla San Pedro Mártir,isla,Indefinido
2010-10-12T00:00:00Z,Ana  Luisa,GT 0978,Chelonia mydas,1,60,62.8,Isla San Pedro Mártir,isla,Indefinido
2011-03-15T00:00:00Z,Naomi,,Chelonia mydas,7,59.4,62,Isla San Pedro Mártir,isla,Indefinido
2011-03-16T00:00:00Z,Romelia,,Chelonia mydas,7,54.5,57,Isla San Pedro Mártir,isla,Indefinido
2011-03-16T00:00:00Z,LORAYNE,,Chelonia mydas,7,58,61,Isla San Pedro Mártir,isla,Indefinido
2012-10-08T00:00:00Z,profepa,GT 1547,Eretmochelys imbricata,1,33,39,Isla Tiburon,isla,Indefinido
2012-05-11T00:00:00Z,prescolina,GT 1545,Chelonia mydas,1,67,70,Laguna La Cruz,estuario,Indefinido
2013-10-01T00:00:00Z,PAPIRINGO,GT 1578,Chelonia mydas,1,51.5,69.5,Laguna La Cruz,estuario,Hembra
2013-06-18T00:00:00Z,Theodoro,GT 1527,Chelonia mydas,1,49,50,Isla San Pedro Mártir,isla,Indefinido
2013-06-18T00:00:00Z,Carito,GT 1529,Chelonia mydas,1,61.1,64,Isla San Pedro Mártir,isla,Macho
2013-06-18T00:00:00Z,Brittany,GT 1530,Chelonia mydas,1,68.3,60,Isla San Pedro Mártir,isla,Macho
2013-06-18T00:00:00Z,Marlu,GT 1532,Chelonia mydas,1,54.2,55,Isla San Pedro Mártir,isla,Indefinido
2013-06-18T00:00:00Z,Eminiel,GT 1535,Chelonia mydas,1,72.2,74,Isla San Pedro Mártir,isla,Macho
2013-06-18T00:00:00Z,Monica,GT 1536,Chelonia mydas,1,62,66.4,Isla San Pedro Mártir,isla,Macho
2013-06-27T00:00:00Z,Rocio del Mar,GT 1539,Eretmochelys imbricata,1,36.5,43.5,Isla San Pedro Mártir,isla,Indefinido
2013-09-26T00:00:00Z,La Dificil,GT 1540,Chelonia mydas,1,70,71.5,Laguna La Cruz,estuario,Indefinido
2013-09-26T00:00:00Z,Marcon(1),GT 1542,Chelonia mydas,1,68.5,68,Laguna La Cruz,estuario,Hembra
2013-09-26T00:00:00Z,Cerene,GT 1544,Chelonia mydas,1,63,61.5,Laguna La Cruz,estuario,Indefinido
2013-10-21T00:00:00Z,Jesus,GT 1550,Lepidochelys olivacea,1,70.5,65.5,Isla Tiburon,isla,Macho
2014-03-19T00:00:00Z,Lechuga,GT 1580,Chelonia mydas,1,25.5,26,Sargento,estuario,Hembra
2014-03-19T00:00:00Z,Paulina,GT 1583,Chelonia mydas,1,65,65,Sargento,estuario,Indefinido
2014-04-22T00:00:00Z,Evan,GT 1590,Chelonia mydas,1,57.5,57.5,Isla San Pedro Mártir,isla,Hembra
2014-04-22T00:00:00Z,Cathy,GT 1586,Chelonia mydas,1,51,50,Isla San Pedro Mártir,isla,Indefinido
2014-04-22T00:00:00Z,Kelly,GT 1588,Chelonia mydas,1,48,51,Isla San Pedro Mártir,isla,Indefinido
2014-04-22T00:00:00Z,Maria,GT 1584,Chelonia mydas,1,47.5,47,Isla San Pedro Mártir,isla,Indefinido
2014-04-22T00:00:00Z,Eilijah,GT 1592,Chelonia mydas,1,56,55.5,Isla San Pedro Mártir,isla,Indefinido
2014-06-05T00:00:00Z,Mama Irene,GT 1595,Chelonia mydas,1,68.1,70,Laguna La Cruz,estuario,Hembra
2014-06-05T00:00:00Z,Goyo,GT 1596,Chelonia mydas,1,77,77.6,Laguna La Cruz,estuario,Macho
2014-05-21T00:00:00Z,Aby,GT 1598,Chelonia mydas,1,58,60,Sargento,estuario,Hembra
2014-12-06T00:00:00Z,Julio,GT 1552,Lepidochelys olivacea,1,71,67,Laguna La Cruz,estuario,Macho
2014-07-14T00:00:00Z,Iguanero,GT 1555,Lepidochelys olivacea,1,71.5,65.5,Isla Tiburon,isla,Macho
2014-07-15T00:00:00Z,Toña,GT 1556,Lepidochelys olivacea,1,68,60.5,NA,NA,Hembra
2014-10-14T00:00:00Z,Kono Jr-3,GT 1559,Chelonia mydas,1,77.2,77,Laguna La Cruz,estuario,Macho
2014-10-14T00:00:00Z,Piston,GT 1561,Chelonia mydas,1,76,80,Laguna La Cruz,estuario,Hembra
2014-11-29T00:00:00Z,Jaudel,GT 1566,Chelonia mydas,1,63,68,Laguna La Cruz,estuario,Macho
2014-11-29T00:00:00Z,Ashly,GT 1565,Chelonia mydas,1,68.5,71.5,Laguna La Cruz,estuario,Hembra
2014-11-29T00:00:00Z,Pepe(1),GT 1568,Chelonia mydas,1,62.6,62,Laguna La Cruz,estuario,Indefinido
