activityno,CDate,PrimaryTag,sp,ApplyDate,Remi?,cclnucn,ccw,cclnuct,cclnott,location
22-066,8/3/2022,BB0864,GR,,yes,,,,,Buck Island
22-302,9/14/2022,BBZ133,GR,7/25/2013,yes,123.4,110,123.4,0,Buck Island
22-278,9/11/2022,BBZ313,GR,9/4/2016,yes,,,,,Buck Island
22-080,8/8/2022,BBZ463,GR,8/29/2016,yes,108.15,104.4,108.4,0.25,Buck Island
22-140,8/23/2022,BBZ813,GR,9/7/2019,yes,110.1,99.9,110.1,0,Buck Island
22-085,8/9/2022,BBZ877,GR,8/16/2019,yes,104,94.5,104.2,0.1,Buck Island
22-229,9/3/2022,EEF014,GR,9/3/2022,no,120.6,110.8,122.5,0.7,Buck Island
22-137,8/22/2022,RRY423,GR,7/24/2007,yes,,,,,Buck Island
22-060,8/1/2022,UUA150,GR,8/5/2010,yes,108.7,98.75,108.7,0,Buck Island
22-072,8/4/2022,UUA336,GR,7/23/2011,yes,111.6,103.05,111.6,0,Buck Island
22-086,8/9/2022,UUA643,GR,7/29/2013,yes,,,,,Buck Island
22-065,8/3/2022,UUA687,GR,9/21/2013,yes,116.95,109.85,116.95,0.1333333333,Buck Island
22-212,9/1/2022,UUA721,GR,9/8/2012,yes,111.15,102,111.15,0,Buck Island
22-136,8/22/2022,XXB182,GR,8/13/2001,yes,114.2,102.2,114.2,0,Buck Island
22-182,8/29/2022,XXB493,GR,9/22/2002,yes,116.9,100.05,116.9,0,Buck Island
22-097,8/12/2022,XXB754,GR,8/6/2005,yes,107.8,96.5,107.8,0,Buck Island
22-304,9/14/2022,XXB774,GR,7/24/2007,yes,110.1,97.4,110.1,0,Buck Island
22-110,8/15/2022,XXB809,GR,8/14/2004,yes,106.1,92.95,106.1,0,Buck Island
22-037,7/26/2022,XXB909,GR,8/14/2004,yes,105.45,98.2,105.45,0,Buck Island
22-208,9/1/2022,XXB910,GR,8/28/2004,yes,108.45,97.23333333,108.45,0,Buck Island
22-303,9/14/2022,XXB951,GR,9/25/2004,yes,108.6,96,108.6,0,Buck Island
22-256,9/6/2022,YYH327,GR,8/22/2008,yes,110,105,108,1.3,Buck Island
22-089,8/10/2022,ZHS038,GR,8/10/2022,no,103.5,91.5,103.5,0,Buck Island
22-309,9/14/2022,ZHS295,GR,8/24/2022,no,114.8,106.3,114.9,0.1,Buck Island
22-338,9/21/2022,ZHS315,GR,9/21/2022,no,107.7,98.7,107.7,0,Buck Island
22-177,8/28/2022,ZHS363,GR,8/28/2022,no,115.1,99.5,115.1,0,Buck Island
22-296,9/13/2022,ZHS365,GR,9/13/2022,no,102.1,95.4,102.1,0,Buck Island
