activityno,CDate,PrimaryTag,sp,ApplyDate,Remi?,cclnucn,ccw,cclnuct,cclnott,location,sex
22-066,8/3/2022,BB0864,GR,,yes,,,,,Buck Island,female
22-302,9/14/2022,BBZ133,GR,7/25/2013,yes,123.4,110,123.4,0,Buck Island,female
22-278,9/11/2022,BBZ313,GR,9/4/2016,yes,,,,,Buck Island,female
22-080,8/8/2022,BBZ463,GR,8/29/2016,yes,108.15,104.4,108.4,0.25,Buck Island,female
22-140,8/23/2022,BBZ813,GR,9/7/2019,yes,110.1,99.9,110.1,0,Buck Island,female
22-085,8/9/2022,BBZ877,GR,8/16/2019,yes,104,94.5,104.2,0.1,Buck Island,female
22-229,9/3/2022,EEF014,GR,9/3/2022,no,120.6,110.8,122.5,0.7,Buck Island,female
22-137,8/22/2022,RRY423,GR,7/24/2007,yes,,,,,Buck Island,female
22-060,8/1/2022,UUA150,GR,8/5/2010,yes,108.7,98.75,108.7,0,Buck Island,female
22-072,8/4/2022,UUA336,GR,7/23/2011,yes,111.6,103.05,111.6,0,Buck Island,female
22-086,8/9/2022,UUA643,GR,7/29/2013,yes,,,,,Buck Island,female
22-065,8/3/2022,UUA687,GR,9/21/2013,yes,116.95,109.85,116.95,0.1333333333,Buck Island,female
22-212,9/1/2022,UUA721,GR,9/8/2012,yes,111.15,102,111.15,0,Buck Island,female
22-136,8/22/2022,XXB182,GR,8/13/2001,yes,114.2,102.2,114.2,0,Buck Island,female
22-182,8/29/2022,XXB493,GR,9/22/2002,yes,116.9,100.05,116.9,0,Buck Island,female
22-097,8/12/2022,XXB754,GR,8/6/2005,yes,107.8,96.5,107.8,0,Buck Island,female
22-304,9/14/2022,XXB774,GR,7/24/2007,yes,110.1,97.4,110.1,0,Buck Island,female
22-110,8/15/2022,XXB809,GR,8/14/2004,yes,106.1,92.95,106.1,0,Buck Island,female
22-037,7/26/2022,XXB909,GR,8/14/2004,yes,105.45,98.2,105.45,0,Buck Island,female
22-208,9/1/2022,XXB910,GR,8/28/2004,yes,108.45,97.23333333,108.45,0,Buck Island,female
22-303,9/14/2022,XXB951,GR,9/25/2004,yes,108.6,96,108.6,0,Buck Island,female
22-256,9/6/2022,YYH327,GR,8/22/2008,yes,110,105,108,1.3,Buck Island,female
22-089,8/10/2022,ZHS038,GR,8/10/2022,no,103.5,91.5,103.5,0,Buck Island,female
22-309,9/14/2022,ZHS295,GR,8/24/2022,no,114.8,106.3,114.9,0.1,Buck Island,female
22-338,9/21/2022,ZHS315,GR,9/21/2022,no,107.7,98.7,107.7,0,Buck Island,female
22-177,8/28/2022,ZHS363,GR,8/28/2022,no,115.1,99.5,115.1,0,Buck Island,female
22-296,9/13/2022,ZHS365,GR,9/13/2022,no,102.1,95.4,102.1,0,Buck Island,female
22-226,9/2/2022,BBZ051,HB,8/27/2018,yes,,,,,Buck Island,female
22-073,8/4/2022,BBZ236,HB,8/4/2022,no,79.1,71.2,81.5,3.85,Buck Island,female
22-051,7/29/2022,BBZ850,HB,7/23/2019,yes,90.2,75.5,92,3.7,Buck Island,female
22-295,9/13/2022,QQD384,HB,7/22/1995,yes,87,76.3,87.9,1.4,Buck Island,female
22-084,8/9/2022,QQD809,HB,7/28/1997,yes,76.9,69.5,76.9,0,Buck Island,female
22-058,7/31/2022,RRY476,HB,7/24/2009,yes,84,76.75,85.23333333,1.9,Buck Island,female
22-274,9/9/2022,RRY572,HB,9/16/2007,yes,80.1,73.8,81,0.9,Buck Island,female
22-145,8/23/2022,UUA077,HB,9/2/2010,yes,84.55,76.3,85.55,0.95,Buck Island,female
22-264,9/7/2022,UUA133,HB,9/15/2010,yes,82.6,80.7,83.2,2.2,Buck Island,female
22-102,8/13/2022,UUA251,HB,9/3/2013,yes,77.95,69.33333333,79.33333333,1.35,Buck Island,female
22-115,8/17/2022,UUA490,HB,8/11/2019,yes,85.8,78.8,89.1,4,Buck Island,female
22-276,9/10/2022,UUA520,HB,8/30/2013,yes,81.8,71.8,85.1,2.9,Buck Island,female
22-040,7/27/2022,UUA675,HB,8/1/2012,yes,86.95,79.4,86.8,0.6,Buck Island,female
22-127,8/19/2022,XXB328,HB,7/30/2002,yes,87.3,76.2,87.5,0.2,Buck Island,female
22-235,9/3/2022,XXB561,HB,8/7/2003,yes,90.4,86.8,97,5.3,Buck Island,female
22-090,8/10/2022,XXB735,HB,7/3/2006,yes,,,,,Buck Island,female
22-189,8/29/2022,XXB768,HB,9/22/2006,yes,,,,,Buck Island,female
22-053,7/30/2022,XXB850,HB,6/29/2004,yes,85.09,80,83.82,7.62,Buck Island,female
22-183,8/29/2022,XXX675,HB,9/13/2007,yes,,,,,Buck Island,female
22-054,7/30/2022,ZHS043,HB,7/27/2022,no,77.45,68.85,80.1,5.65,Buck Island,female
22-339,9/22/2022,ZHS045,HB,9/22/2022,no,86.6,75.4,89.2,1.7,Buck Island,female
22-233,9/3/2022,ZHS222,HB,9/3/2022,no,82.6,73.8,85.5,3.3,Buck Island,female
22-070,8/3/2022,ZHS352,HB,8/3/2022,no,,,,,Buck Island,female
22-094,8/11/2022,ZHS355,HB,7/27/2022,no,88.85,79.25,89.8,1.15,Buck Island,female
22-214,9/2/2022,ZHS430,HB,9/2/2022,no,,,,,Buck Island,female
22-344,9/23/2022,ZHS490,HB,9/9/2022,no,80.3,71.4,83,2.9,Buck Island,female
22-082,8/8/2022,ZHS633,HB,8/8/2022,no,89,73,90.7,2.15,Buck Island,female
22-069,8/3/2022,ZHS641,HB,8/3/2022,no,76,68,80.5,3.5,Buck Island,female
22-075,8/5/2022,ZHS650,HB,8/5/2022,no,88.6,75.8,89.8,1.9,Buck Island,female
22-043,7/27/2022,BBZ403,LH,9/10/2016,yes,,,,,Buck Island,female
